swap,m2_beta_s_mean,m2_beta_s_sd,m2_beta_o_mean,m2_beta_o_sd,m2_beta_all_mean,m2_beta_all_sd,m5_beta_s_mean,m5_beta_s_sd,m5_beta_o_mean,m5_beta_o_sd,m5_beta_all_mean,m5_beta_all_sd
0,0.15,2.56,-0.0,2.94,0.1,2.41,-0.07,1.83,-0.18,2.0,-0.11,1.74
10,10.46,2.08,10.16,2.4,10.36,1.83,7.36,1.58,7.15,1.7,7.29,1.44
50,24.24,1.82,21.29,1.67,23.25,1.38,18.82,1.32,17.03,1.17,18.22,1.03
100,34.53,1.68,24.69,1.19,31.24,1.12,27.31,1.19,20.54,0.82,25.04,0.83
200,47.81,1.48,20.88,0.69,38.81,0.94,35.09,1.01,21.27,0.47,30.47,0.63
300,47.95,1.18,20.78,0.77,38.88,0.79,35.78,1.09,20.96,0.44,30.83,0.67
