swap,m2_beta_s_mean,m2_beta_s_sd,m2_beta_o_mean,m2_beta_o_sd,m2_beta_all_mean,m2_beta_all_sd,m5_beta_s_mean,m5_beta_s_sd,m5_beta_o_mean,m5_beta_o_sd,m5_beta_all_mean,m5_beta_all_sd
0,-17.98,0.89,-3.51,2.75,-13.14,1.2,-16.9,0.57,-2.28,1.97,-12.02,0.84
10,-2.71,1.75,12.17,2.63,2.26,1.66,-6.15,0.97,9.28,1.97,-1.0,1.06
50,15.52,1.78,26.87,1.98,19.31,1.42,9.48,1.13,23.24,1.46,14.07,0.94
100,28.11,1.77,31.15,1.39,29.12,1.26,20.47,1.16,27.59,1.0,22.85,0.83
200,47.75,1.66,23.58,0.88,39.68,1.06,35.29,1.11,23.96,0.57,31.5,0.69
300,50.05,1.21,22.18,0.8,40.74,0.85,39.03,0.95,21.65,0.52,33.22,0.62
