,,Supporter,Supporter,Opponent,Opponent,Overall,Overall
,,Mean,SD,Mean,SD,Mean,SD
$h_{ss}$,$h_{oo}$,,,,,,
0.25,0.25,28.47,0.95,44.8,0.59,33.93,0.6
0.5,0.5,30.89,1.09,45.71,0.44,35.84,0.67
0.75,0.75,30.62,1.06,45.71,0.45,35.66,0.64
0.25,0.75,18.28,0.95,41.65,0.76,26.09,0.7
0.75,0.25,23.24,1.05,44.33,0.51,30.28,0.68
0.5,0.75,29.3,0.93,45.31,0.54,34.64,0.6
0.75,0.5,27.64,0.95,45.02,0.52,33.44,0.62
