swap,m2_beta_s_mean,m2_beta_s_sd,m2_beta_o_mean,m2_beta_o_sd,m2_beta_all_mean,m2_beta_all_sd,m5_beta_s_mean,m5_beta_s_sd,m5_beta_o_mean,m5_beta_o_sd,m5_beta_all_mean,m5_beta_all_sd
0,37.83,2.5,29.31,1.81,34.98,1.96,35.56,2.04,26.57,1.17,32.56,1.54
10,41.8,2.01,30.02,1.58,37.86,1.53,38.74,1.69,26.55,1.08,34.67,1.26
50,49.07,1.57,29.65,1.3,42.59,1.16,44.62,1.31,25.38,0.91,38.19,0.95
100,55.18,1.29,27.52,1.13,45.94,0.92,48.07,1.09,24.54,0.78,40.21,0.8
200,56.95,1.38,26.77,0.81,46.87,1.01,48.38,0.95,25.01,0.76,40.58,0.7
300,56.95,1.38,26.77,0.81,46.87,1.01,48.38,0.95,25.01,0.76,40.58,0.7
