swap_count,mean_misp,mean_opinion_percent,mean_majority_opinion_percent,mean_minority_opinion_percent,mean_minority_degree_fraction
0,0.05999033803915386,60.00096619608462,87.53521096822354,4.098105598105599,37.505742214625286
1,0.10893522887272118,55.10647711272789,78.34055662413871,7.9342550744089335,41.4119170984456
2,0.14543639033804473,51.45636096619553,71.02289128781666,11.730375161692026,44.206105443085306
3,0.17306465967821036,48.69353403217896,65.32804591759815,14.920434143600616,46.534239623951706
4,0.19776213144543245,46.223786855456765,60.17424780857616,17.900123708214327,48.47417338817371
5,0.21908907586962717,44.09109241303728,55.45984363894812,21.009082348309235,50.07772020725389
6,0.23823969811382334,42.17603018861767,51.17164179104477,23.912212692780834,51.500454035575025
7,0.2549625837370552,40.50374162629448,47.27007818052594,26.766028016188187,52.74224133326211
8,0.2709328779701957,38.90671220298043,43.49289267945984,29.595376084067674,53.93234869932162
9,0.2860367452959671,37.39632547040328,40.049751243781095,32.00906708203018,54.99305592649965
10,0.29987130747183727,36.012869252816266,36.91542288557214,34.180411877221026,55.89845627904492
11,0.312893300289904,34.7106699710096,33.89303482587064,36.37071708386749,56.7261364243363
12,0.322091185254097,33.7908814745903,31.659203980099498,38.11883275128374,57.42441643074623
13,0.3316082631111671,32.83917368888329,29.216417910447756,40.19446572388877,58.07088296565354
14,0.3385550727285649,32.1444927271435,27.400497512437813,41.77624058730355,58.61398963730569
15,0.34513623244604047,31.486376755395952,25.746268656716417,43.14053562241199,59.07964318145399
16,0.35158453098874304,30.841546901125696,24.012437810945276,44.70670778118898,59.51938998985097
17,0.3557235851208854,30.427641487911462,22.736318407960198,46.04335804417615,59.82973665936648
18,0.3598516841581543,30.01483158418457,21.67910447761194,46.9388835884381,60.06249666150313
19,0.36202447155594164,29.797552844405836,20.98258706467662,47.69460457900758,60.24357673201217
20,0.36390406992626756,29.609593007373242,20.559701492537307,47.98361517385831,60.37284333101864
21,0.3647933879611739,29.52066120388262,20.31094527363184,48.219175365300856,60.42452326264622
22,0.3662100546278405,29.378994537215952,20.024875621890544,48.37069051681601,60.47620319427382
23,0.3662100546278405,29.378994537215952,20.024875621890544,48.37069051681601,60.47620319427382
24,0.3662100546278405,29.378994537215952,20.024875621890544,48.37069051681601,60.47620319427382
25,0.3662100546278405,29.378994537215952,20.024875621890544,48.37069051681601,60.47620319427382
26,0.3662100546278405,29.378994537215952,20.024875621890544,48.37069051681601,60.47620319427382
27,0.3662100546278405,29.378994537215952,20.024875621890544,48.37069051681601,60.47620319427382
28,0.3662100546278405,29.378994537215952,20.024875621890544,48.37069051681601,60.47620319427382
29,0.3662100546278405,29.378994537215952,20.024875621890544,48.37069051681601,60.47620319427382
30,0.3662100546278405,29.378994537215952,20.024875621890544,48.37069051681601,60.47620319427382
31,0.3662100546278405,29.378994537215952,20.024875621890544,48.37069051681601,60.47620319427382
32,0.3662100546278405,29.378994537215952,20.024875621890544,48.37069051681601,60.47620319427382
