swap_count,mean_misp,mean_opinion_percent,mean_majority_opinion_percent,mean_minority_opinion_percent,mean_minority_degree_fraction
0,0.03769949236096827,62.23005076390317,81.7743906106216,22.549118347838483,35.604133961276816
1,0.08809666478021654,57.19033352197836,74.16243246072044,22.731829616047456,39.739010989010985
2,0.12656492177356218,53.34350782264378,68.04207856819798,23.50095509682165,43.05664573521716
3,0.15771494324898802,50.2285056751012,62.79752212961167,24.709593479579922,45.50693354264783
4,0.18337695181140093,47.66230481885991,58.40943550645043,25.842372816782188,47.52341705913135
5,0.20761163998393545,45.23883600160646,53.87846481876333,27.6977714334395,49.33555729984302
6,0.22957793526768003,43.04220647323199,49.82119166074389,29.278812304647232,50.91810570381999
7,0.24876970714354818,41.12302928564519,46.20771144278607,30.79958369387429,52.321951857666136
8,0.26553720539915754,39.44627946008425,42.72583511016346,32.787787685680975,53.52171637885923
9,0.2817960550633029,37.82039449366971,39.785358919687276,33.8309212650886,54.64495028780742
10,0.2981142511606611,36.188574883933896,36.310945273631845,35.940125910910794,55.71716378859236
11,0.31088876648374253,34.91112335162575,33.59452736318408,37.58421217664368,56.585034013605444
12,0.3221892849030261,33.78107150969739,30.95771144278607,39.513348009184014,57.37637362637363
13,0.33280688955957805,32.719311044042186,28.557213930348258,41.16962942639047,58.16771323914181
14,0.34203454384251286,31.796545615748705,26.37562189054726,42.8026634820668,58.88252223966511
15,0.350728452671613,30.927154732838698,24.370646766169152,44.23885272577384,59.49529042386185
16,0.35831544159894824,30.168455840105178,22.67412935323383,45.38420961648034,60.03152799581371
17,0.360592362879503,29.940763712049694,22.116915422885572,45.82554660217078,60.36329147043433
18,0.36394470793368633,29.605529206631367,21.082089552238802,46.91069456554958,60.64403453689168
19,0.3668156341575264,29.318436584247365,20.37313432835821,47.48011086135565,60.873757195185775
20,0.3683033928681972,29.16966071318028,19.97512437810945,47.837355696505924,61.05232862375719
21,0.3686315304323042,29.136846956769574,20.024875621890548,47.63690997000883,61.1288592360021
22,0.3697931095842296,29.020689041577032,19.776119402985074,47.78996679265769,61.17987964416536
23,0.37026825887121717,28.97317411287828,19.676616915422887,47.848002362257425,61.20538984824699
24,0.3701920683950267,28.98079316049733,19.676616915422887,47.871090385345454,61.20538984824699
25,0.3701920683950267,28.98079316049733,19.676616915422887,47.871090385345454,61.20538984824699
26,0.3701920683950267,28.98079316049733,19.676616915422887,47.871090385345454,61.20538984824699
27,0.3701920683950267,28.98079316049733,19.676616915422887,47.871090385345454,61.20538984824699
28,0.3701920683950267,28.98079316049733,19.676616915422887,47.871090385345454,61.20538984824699
29,0.3701920683950267,28.98079316049733,19.676616915422887,47.871090385345454,61.20538984824699
30,0.3701920683950267,28.98079316049733,19.676616915422887,47.871090385345454,61.20538984824699
31,0.3701920683950267,28.98079316049733,19.676616915422887,47.871090385345454,61.20538984824699
32,0.3701920683950267,28.98079316049733,19.676616915422887,47.871090385345454,61.20538984824699
