swap_count,mean_misp,mean_opinion_percent,mean_majority_opinion_percent,mean_minority_opinion_percent,mean_minority_degree_fraction
0,0.020739464831397703,63.926053516860236,78.38753806918865,34.5648576075874,34.8469387755102
1,0.0705924326567233,58.94075673432767,71.05182027756653,34.35162772229724,38.87755102040816
2,0.11307479271262529,54.69252072873748,65.29054713942774,33.17531559188148,42.14285714285714
3,0.14783165062361336,51.216834937638666,60.24807116598161,32.880688655851465,44.8469387755102
4,0.1789201715471343,48.107982845286564,55.11101419310374,33.88970707850624,47.117346938775505
5,0.2031073707997873,45.68926292002127,50.85625444207534,35.19870437524484,49.10714285714286
6,0.2221546987057994,43.784530129420055,48.2147003079839,34.78994219112381,50.79081632653062
7,0.24073107412494865,41.92689258750514,45.2231698649609,35.234450842367664,52.219387755102034
8,0.2562654292334417,40.37345707665584,42.709132906894105,35.63132736071752,53.44387755102041
9,0.27025079207603064,38.97492079239694,40.181058990760484,36.52609475329517,54.489795918367335
10,0.28378336806729093,37.62166319327091,37.70646766169154,37.44948442405327,55.45918367346938
11,0.29653178136452,36.346821863547994,35.36993603411514,38.33019612330564,56.377551020408156
12,0.30727571885977334,35.272428114022674,33.53695806680881,38.795958209881114,57.16836734693878
13,0.31712292778112017,34.28770722188799,31.340796019900495,40.27082996531714,57.88265306122448
14,0.3246929042803691,33.530709571963094,29.98009950248756,40.73952395544372,58.494897959183675
15,0.3320038068581834,32.79961931418166,28.35820895522388,41.81702822479291,59.00510204081634
16,0.33725982596979076,32.27401740302092,26.95771144278607,43.06772950410381,59.46428571428571
17,0.34231930121676596,31.7680698783234,25.98756218905472,43.50425215653556,59.8469387755102
18,0.3462207507751196,31.37792492248804,24.92786069651741,44.47350986612538,60.127551020408156
19,0.3496241077397923,31.037589226020764,24.21641791044776,44.88663401824475,60.382653061224495
20,0.3529940699997546,30.700593000024543,23.44527363184079,45.43108989906426,60.56122448979592
21,0.35438919668679303,30.561080331320692,22.89800995024875,46.11943534743646,60.68877551020408
22,0.35530864904815723,30.46913509518428,22.736318407960194,46.16909624803318,60.765306122448976
23,0.35575501970965945,30.424498029034055,22.611940298507463,46.286357663739565,60.79081632653062
24,0.35611057526521506,30.3889424734785,22.51243781094527,46.38063375801566,60.816326530612244
25,0.35636751970965946,30.36324802903406,22.41293532338308,46.50479200717392,60.84183673469388
26,0.3569871103529343,30.301288964706572,22.313432835820894,46.519057468807794,60.867346938775505
27,0.3566289232184314,30.337107678156865,22.437810945273633,46.37507377219252,60.867346938775505
28,0.3564304583061507,30.35695416938493,22.562189054726367,46.18268940217657,60.867346938775505
29,0.3562750489494256,30.372495105057446,22.562189054726367,46.22978314663874,60.867346938775505
30,0.3562750489494256,30.372495105057446,22.562189054726367,46.22978314663874,60.867346938775505
31,0.3562750489494256,30.372495105057446,22.562189054726367,46.22978314663874,60.867346938775505
32,0.3562750489494256,30.372495105057446,22.562189054726367,46.22978314663874,60.867346938775505
