swap_count,mean_opinion_percent,mean_majority_opinion_percent,mean_minority_opinion_percent,mean_misp,std_opinion_percent,std_majority_opinion_percent,std_minority_opinion_percent
0,31.682933510143442,28.839501907231845,37.35277017942225,34.98373315652323,1.9556303976511116,2.5009481729307503,1.8062159620558964
1,31.151459520946755,28.137261655054363,37.161806163714225,35.51520714571991,1.8479823512137301,2.3808105506806383,1.7688280024609664
2,30.75427490504193,27.600744200075578,37.04245289757964,35.91239176162474,1.7749229188534912,2.2930442255845755,1.7313154049860233
3,30.42641216598255,27.152729953232914,36.95417370398034,36.24025450068412,1.7218995427454384,2.230196992834301,1.704023869857739
4,30.13746183525046,26.74944657863824,36.893204831968234,36.52920483141621,1.6796548504052722,2.178556034968833,1.6847716057276327
5,29.874595665105623,26.384765777882173,36.83335825459908,36.79207100156105,1.644939121457271,2.1405239466950534,1.6567235095982995
6,29.636105501196933,26.05084164365201,36.78516457043322,37.030561165469734,1.6167266182353395,2.114419813887485,1.6317624237183572
7,29.41123565796015,25.73401027086578,36.74366711845372,37.25543100870652,1.5877680748061453,2.07558805171778,1.6204719054300623
8,29.198653318946107,25.43567925444099,36.70206866912697,37.468013347720564,1.5649803757337555,2.045412421721699,1.6048487852301956
9,28.995417889279924,25.14628005885502,36.67064482060622,37.67124877738675,1.5480816379262263,2.0289396959127988,1.5880281439784005
10,28.80346346960909,24.870190048166055,36.6464577770374,37.86320319705759,1.5317402063524173,2.009552434613239,1.5760336735415443
11,28.620073211522527,24.601721087508196,36.63271547078464,38.04659345514415,1.5148303683485405,1.9891655442793175,1.5631080897740501
12,28.442221128536257,24.33723284461665,36.62761692820828,38.22444553813041,1.4973746546244828,1.966435905853206,1.5525864408468801
13,28.27113403722329,24.08727664306375,36.613795787254,38.39553262944338,1.4827471017063039,1.9506084105150374,1.5451182992435024
14,28.10739529133619,23.847401391295694,36.601874145907956,38.55927137533048,1.467394515351263,1.9270315111837926,1.5302935793519996
15,27.948801539093807,23.615112503272172,36.59022937698964,38.717865127572864,1.451922349925664,1.911725243422233,1.5160949547779816
16,27.795302940692622,23.38694277861069,36.58562589861648,38.87136372597405,1.4372301380775192,1.8935978262977937,1.505771864615833
17,27.647578180740776,23.171043585350176,36.573841775142384,39.01908848592589,1.428450604609679,1.8830090429246864,1.4872695544304984
18,27.501347697404185,22.951671902144163,36.573455720287946,39.165318969262486,1.4191158148812908,1.8776072362399618,1.4810239330847503
19,27.360574773163368,22.741773339520712,36.570520146834035,39.30609189350331,1.4062201448095708,1.8651719905631112,1.4714470474843442
20,27.22452107414254,22.538553996811114,36.568395545707595,39.44214559252413,1.3926238361999996,1.8524642139902812,1.4685041080361387
21,27.093237540020446,22.34408117369886,36.563112210589836,39.573429126646225,1.3825779323817016,1.840473437737086,1.4679599077049847
22,26.962881104298912,22.147232455200967,36.56534218303912,39.703785562367756,1.3726521551196684,1.823253125357871,1.4637785393812648
23,26.83383164482766,21.955510637538374,36.561262156368585,39.83283502183901,1.363869617999734,1.8145302128873055,1.4569512525091062
24,26.709293549382153,21.76505068894124,36.568173025590674,39.95737311728452,1.3543617229409306,1.807976682834814,1.4526516488374919
25,26.58613167866193,21.573279431712713,36.581819093237314,40.08053498800474,1.3429165575077389,1.7909827517280181,1.4529646307048605
26,26.465097184942707,21.386457485542937,36.59196556757817,40.201569481723965,1.3310104011804682,1.773817350587761,1.4500961516028212
27,26.347860286609162,21.207076104804738,36.5986455114048,40.31880638005751,1.3195127828872604,1.7562394488360211,1.446592466928972
28,26.232540154039082,21.029040836724498,36.60838011012146,40.434126512627586,1.3078578697734506,1.7456143024788184,1.43467770130077
29,26.11957341646832,20.85660419790105,36.61399706786295,40.54709325019835,1.3003078400883656,1.7397446163575145,1.4238082950299737
30,26.008540929174636,20.679890768901263,36.63393316492933,40.658125737492036,1.2940576589216761,1.7334995103141617,1.4209304321780607
31,25.9022617557885,20.513709930748913,36.64709862847223,40.76440491087817,1.290336407654406,1.736141593371052,1.4044846983300463
32,25.797654214815886,20.354175412293852,36.652016138407724,40.869012451850786,1.2871965029320722,1.7321782624344748,1.391816186478068
33,25.69249603442593,20.19014492753623,36.664250037984445,40.97417063224074,1.2847945606026654,1.7254721618748445,1.3988733453723006
34,25.59075442493224,20.03091954022988,36.677131769877654,41.07591224173443,1.282874953602287,1.7267334325326207,1.3933577952513363
35,25.489176258783584,19.871289355322336,36.69131002436798,41.177490407883084,1.2828651863366793,1.7301049788441651,1.3838246367453342
36,25.386556153436956,19.70745377311344,36.7107543130042,41.280110513229715,1.280035596098046,1.7281385028096519,1.3786831160801372
37,25.286426294708022,19.547283858070966,36.73034504560707,41.38024037195865,1.2770799141503222,1.72048433706125,1.3836357641693715
38,25.18523423800845,19.38581209395302,36.74935144741238,41.48143242865822,1.2750708976035294,1.7163590228176964,1.3745588839249745
39,25.08563812296281,19.22827836081959,36.7652836366975,41.581028543703866,1.2722487608319515,1.7145333563851812,1.3775948443995205
