swap_count,mean_opinion_percent,mean_majority_opinion_percent,mean_minority_opinion_percent,mean_misp,std_opinion_percent,std_majority_opinion_percent,std_minority_opinion_percent
0,84.71570601984774,83.1387259667233,87.86022313176652,-18.049039353181072,0.5139160631058051,0.498379459182682,1.172806515777533
1,82.6549236650427,81.37521134008092,85.20668536691262,-15.98825699837603,0.6260822200962678,0.5881225425073119,1.307605241108524
2,80.910481675844,79.90296155153455,82.91948886982628,-14.243815009177325,0.7345959441148092,0.6749168615692557,1.4339234416142648
3,79.34963082508796,78.59558608059021,80.8532050760925,-12.682964158421285,0.8332890983270264,0.7530650932757643,1.5505279600851605
4,77.94236365765889,77.41785467601748,78.98824084859658,-11.275696990992216,0.9101841498791068,0.8201083166757034,1.6464704710562093
5,76.66855143513575,76.3570130867147,77.28976263288554,-10.001884768469083,0.9625467667190767,0.8718442993477494,1.7026598590691058
6,75.49153790148488,75.37812600046061,75.71768259035363,-8.824871234818204,1.0066113754831028,0.9082134824424797,1.754111508890931
7,74.40778029274001,74.47383635862347,74.27606370627781,-7.741113626073343,1.0455788272370306,0.9426911794353123,1.805159461880894
8,73.40259332954106,73.62940899192894,72.9503201823844,-6.735926662874391,1.0720881960558701,0.9718524259415997,1.832387617436129
9,72.4624217056651,72.84211717918888,71.70530438420748,-5.795755038998422,1.0932084916450882,0.9918010184569273,1.8596088779685995
10,71.58762892070986,72.10870100516098,70.54860494393012,-4.920962254043189,1.1108494246724534,1.010161913602218,1.8700654141462825
11,70.7615561095272,71.4189116062573,69.45078137652648,-4.094889442860534,1.1239846158299613,1.0285233710974333,1.8842142899616072
12,69.98578123882841,70.76855846510604,68.42491407505332,-3.3191145721617374,1.13587962988405,1.0405556944224261,1.8990884212152357
13,69.25189616991966,70.1517200670568,67.45763654269409,-2.5852295032529895,1.1450646425672966,1.0505324954452364,1.91365911314417
14,68.56194055393215,69.56911744114987,66.55361777882139,-1.8952738872654749,1.1480601974822962,1.057065916537599,1.9121280275264783
15,67.90542041673851,69.01881906430427,65.68529017937684,-1.2387537500718366,1.150152731548747,1.067645296208659,1.8981528846785234
16,67.27454973913667,68.49096065019339,64.8490118146943,-0.6078830724700026,1.1498129011457374,1.0754040164424234,1.879153557157491
